Variables,Site,Zone,Time,Param_mean,Param_std
NN,BP,Ambient,Day,0.6121052631578947,2.0301411525840276
NN,BP,Diffuse,Day,1.7285714285714286,2.2761799045732727
NN,BP,Transition,Day,6.978,10.303478002469284
NN,W,Ambient,Day,0.1553125,0.04384609262761823
NN,W,Diffuse,Day,0.5928125,1.3220639640350236
NN,W,Offshore,Day,0.13,0.049665548085837806
NN,W,Transition,Day,1.9312500000000001,2.7051478702651357
percent_sgd,BP,Ambient,Day,0.48475407663157893,1.0531109545406045
percent_sgd,BP,Diffuse,Day,1.642245412,1.6064012092755033
percent_sgd,BP,Transition,Day,4.7420654911,5.561522308181691
percent_sgd,W,Ambient,Day,0.265019379875,0.07437117455733118
percent_sgd,W,Diffuse,Day,1.72743055553125,3.204307313244439
percent_sgd,W,Offshore,Day,0.20994832025,0.0330658500662218
percent_sgd,W,Transition,Day,5.9018087855,7.045221857030364
pH,BP,Ambient,Day,8.111631578947367,0.055911845819325026
pH,BP,Diffuse,Day,8.149028571428572,0.10033985945255235
pH,BP,Transition,Day,8.1317,0.1273801190800279
pH,W,Ambient,Day,8.07796875,0.07587318978018086
pH,W,Diffuse,Day,8.067125,0.06443038253454957
pH,W,Offshore,Day,7.994249999999999,0.04967477562438829
pH,W,Transition,Day,8.08025,0.07617917475705988
Phosphate,BP,Ambient,Day,0.13736842105263158,0.056651184675575846
Phosphate,BP,Diffuse,Day,0.1742857142857143,0.07792476440492474
Phosphate,BP,Transition,Day,0.299,0.24328670545804917
Phosphate,W,Ambient,Day,0.104375,0.020310096011589902
Phosphate,W,Diffuse,Day,0.125,0.08378159009418285
Phosphate,W,Offshore,Day,0.1625,0.04031128874149274
Phosphate,W,Transition,Day,0.21125,0.15555813489925024
Salinity,BP,Ambient,Day,34.556401708421056,0.3488251466460662
Salinity,BP,Diffuse,Day,34.173002329142854,0.5320931625361802
Salinity,BP,Transition,Day,33.1462394905,1.842159961300294
Salinity,W,Ambient,Day,34.59101987125,0.025298551480822978
Salinity,W,Diffuse,Day,34.093557175625,1.0899967010057472
Salinity,W,Offshore,Day,34.6097531775,0.011247878353197651
Salinity,W,Transition,Day,32.67357524125,2.3965455972706637
Silicate,BP,Ambient,Day,3.8489473684210527,8.361700979756082
Silicate,BP,Diffuse,Day,13.039428571428571,12.754825601883146
Silicate,BP,Transition,Day,37.652,44.15848712606851
Silicate,W,Ambient,Day,2.05125,0.5756328915258854
Silicate,W,Diffuse,Day,13.3703125,24.801338606482254
Silicate,W,Offshore,Day,1.625,0.2559296778413945
Silicate,W,Transition,Day,45.68,54.530017177086364
TA,BP,Ambient,Day,2252.787861105263,20.75750845545032
TA,BP,Diffuse,Day,2259.8279131714285,41.92096788794259
TA,BP,Transition,Day,2282.3740369,62.59730873312178
TA,W,Ambient,Day,2258.0556089687498,19.97328350675189
TA,W,Diffuse,Day,2240.73144740625,29.2394648854714
TA,W,Offshore,Day,2282.0666435000003,8.715615471273212
TA,W,Transition,Day,2230.657343875,46.221544246024465
Temp_in,BP,Ambient,Day,26.227958144736842,1.117146436343069
Temp_in,BP,Diffuse,Day,26.590332445142856,1.159567210160108
Temp_in,BP,Transition,Day,26.3939320855,1.4753666313945575
Temp_in,W,Ambient,Day,26.0640541065625,1.3279861962200457
Temp_in,W,Diffuse,Day,25.6645614896875,1.2744165992653151
Temp_in,W,Offshore,Day,24.517368475,0.09955142727136386
Temp_in,W,Transition,Day,25.39639742625,1.4435030234979993
